SubjectID,Trial,SpatialCond,isTargetLeft,isLowLeft,TargetNum,TargetTime,ResponseTime
p004,ild-fmri-2,ILD10,True,False,2,        1.25,10.2,2.399,6.287,10.825,18.004
p004,ild-fmri-2,ILD10,False,True,3,        5.85,8.149999999999999,14.799999999999999,6.544,8.773,16.367
p004,ild-fmri-2,ITD500,True,True,2,        1.25,17.099999999999998,18.107
p004,ild-fmri-2,ILD10,True,True,3,        1.25,12.5,17.099999999999998,2.637,6.457,13.148,17.826,23.174
p004,ild-fmri-2,ILD10,False,False,3,        1.25,17.099999999999998,19.4,1.868,4.377,9.264,18.063
p004,ild-fmri-2,ITD500,True,False,1,        10.2,10.975
p004,ild-fmri-2,ITD500,False,False,1,        12.75,6.575,13.449,20.258
p004,ild-fmri-2,ITD500,False,True,1,        3.55,6.599,18.025
p004,ild-fmri-2,ILD10,False,False,3,        5.85,15.049999999999999,21.95,6.641,13.789,15.873,22.555
p004,ild-fmri-2,ITD500,True,False,1,        17.099999999999998,8.862,22.978
p004,ild-fmri-2,ILD10,True,True,2,        3.55,21.7,4.527,15.519,23.346
p004,ild-fmri-2,ITD500,False,True,1,        19.65,4.148,11.89,15.997,20.39
p004,ild-fmri-2,ILD10,True,False,1,        21.7,1.658,20.275,22.434
p004,ild-fmri-2,ILD10,False,True,1,        17.099999999999998,2.08,4.368,6.877,17.918
p004,ild-fmri-2,ITD500,True,True,3,        1.25,3.3,21.95,2.081,6.313,22.885
p004,ild-fmri-2,ITD500,False,False,3,        3.55,14.799999999999999,19.4,2.017,4.246,15.814,20.002,22.836
p004,ild-fmri-2,ITD500,True,False,3,        7.8999999999999995,19.4,21.95,8.537,10.836,17.828,20.337
p004,ild-fmri-2,ITD500,True,True,2,        8.149999999999999,12.5,4.221,8.761,13.333,20.194
p004,ild-fmri-2,ILD10,False,True,1,        10.45,9.128,11.129
p004,ild-fmri-2,ILD10,True,True,1,        14.799999999999999,10.906,15.505
p004,ild-fmri-2,ITD500,False,True,2,        1.25,7.8999999999999995,1.947,8.653
p004,ild-fmri-2,ITD500,False,False,1,        19.65,6.748,15.687,20.196
p004,ild-fmri-2,ILD10,False,False,2,        1.0,21.95,1.73,22.66
p004,ild-fmri-2,ILD10,True,False,2,        3.3,19.65,4.238,20.377
p004,ild-fmri-2,ILD10,True,True,3,        5.85,8.149999999999999,19.4,4.387,6.548,8.846,23.26
p004,ild-fmri-2,ITD500,True,False,1,        3.55,4.169,6.258
p004,ild-fmri-2,ILD10,True,False,1,        10.2,10.798
p004,ild-fmri-2,ILD10,False,False,3,        1.25,17.349999999999998,21.95,1.8,6.296,17.998,22.568
